year,state,source,winner,loser,winner_party,winner_vote_pct,loser_vote_pct,winner_mention_share,loser_mention_share,winner_ngrams_freq,loser_ngrams_freq,attention_leader_won,status
1962,CO,Google Ngrams,John Arthur Love,Stephen McNichols,R,0.5667,0.4264,0.0,1.0,0.0,1.005515049001815e-08,0.0,winner_zero
1962,CT,Google Ngrams,John N. Dempsey,John deKoven Alsop,D,0.5321,0.4679,0.9852682414394954,0.014731758560504571,3.701190109950403e-08,5.534029900999826e-10,1.0,ok
1962,HI,Google Ngrams,John A. Burns,William F. Quinn,D,0.583,0.417,0.2979562502328638,0.7020437497671361,2.4533136411264422e-08,5.7804912856340707e-08,0.0,ok
1962,ID,Google Ngrams,Robert E. Smylie,Vernon K. Smith,R,0.5464,0.4536,0.9052217219199975,0.0947782780800025,4.964878286273233e-08,5.198313335341709e-09,1.0,ok
1962,IA,Google Ngrams,Harold Hughes,Norman A. Erbe,D,0.5256000000000001,0.4744,0.2975042359787366,0.7024957640212635,1.524531345609148e-08,3.599870801451743e-08,0.0,ok
1962,KS,Google Ngrams,John Anderson Jr.,Dale E. Saffels,R,0.534,0.456,0.9898206548238588,0.010179345176141164,4.720023696336284e-07,4.85408646611063e-09,1.0,ok
1962,ME,Google Ngrams,John H. Reed,Maynard Dolloff,R,0.501,0.499,0.9853858798636639,0.014614120136336117,5.235554922933261e-08,7.764778264807148e-10,1.0,ok
1962,MD,Google Ngrams,J. Millard Tawes,Frank Small Jr.,D,0.5564,0.4436,0.9474753805354783,0.052524619464521694,8.28797972474149e-08,4.594557179160574e-09,1.0,ok
1962,MA,Google Ngrams,Endicott Peabody,John Volpe,D,0.4992,0.4971,0.7675223119678094,0.2324776880321906,5.973501693290473e-08,1.8093361475735037e-08,1.0,ok
1962,MI,Google Ngrams,George W. Romney,John B. Swainson,R,0.5136,0.4845,0.1010606917049428,0.8989393082950572,1.7205877611559117e-08,1.5304703993024305e-07,0.0,ok
1962,MN,Google Ngrams,Karl Rolvaag,Elmer Andersen,D,0.49713,0.49706,0.7492714141327064,0.25072858586729363,1.0915527148824822e-08,3.6526612845477757e-09,1.0,ok
1962,NE,Google Ngrams,Frank B. Morrison,Fred A. Seaton,D,0.522,0.478,0.3529531151530866,0.6470468848469134,5.579042294812098e-08,1.0227709523746853e-07,0.0,ok
1962,NV,Google Ngrams,Grant Sawyer,Oran K. Gragson,D,0.6684,0.3315999999999999,0.9687826904842962,0.031217309515703784,6.252430040376566e-08,2.014735045463567e-09,1.0,ok
1962,NH,Google Ngrams,John W. King,John Pillsbury,D,0.5889,0.4111,0.7442416912164735,0.25575830878352646,2.6830059951521434e-08,9.220137542342854e-09,1.0,ok
1962,NM,Google Ngrams,Jack M. Campbell,Edwin L. Mechem,D,0.5297999999999999,0.4700999999999999,0.38730511035081033,0.6126948896491897,2.2125578702514304e-08,3.5001420428670826e-08,0.0,ok
1962,NY,Google Ngrams,Nelson Rockefeller,Robert Morgenthau,R,0.531,0.44,0.9830943332525627,0.01690566674743732,4.204785568617808e-07,7.2307103360369496e-09,1.0,ok
