year,source,winner_name,loser_name,winner_party,winner_mention_share,loser_mention_share,winner_vote_pct,loser_vote_pct,attention_leader_won,winner_article_volume,loser_article_volume,window
2020,GDELT News,Joe Biden,Donald Trump,D,0.23711,0.76289,51.31,46.86,0,364.2716,1172.0242,20191103–20201103
2024,GDELT News,Donald Trump,Kamala Harris,R,0.754391,0.245609,49.84,48.36,1,618.0986,201.2354,
