year,state,winner,loser,winner_party,loser_party,winner_pct,loser_pct
1962,Hawaii,John A. Burns,William F. Quinn,D,R,0.583,0.417
1962,Idaho,Robert E. Smylie,Vernon K. Smith,R,D,0.5464,0.4536
1962,Iowa,Harold Hughes,Norman A. Erbe,D,R,0.5256000000000001,0.4744
1962,Kansas,John Anderson Jr.,Dale E. Saffels,R,D,0.534,0.456
1962,Maine,John H. Reed,Maynard Dolloff,R,D,0.501,0.499
1962,Maryland,J. Millard Tawes,Frank Small Jr.,D,R,0.5564,0.4436
1962,Massachusetts,Endicott Peabody,John Volpe,D,R,0.4992,0.4971
1962,Michigan,George W. Romney,John B. Swainson,R,D,0.5136,0.4845
1962,Minnesota,Karl Rolvaag,Elmer Andersen,D,R,0.49713,0.49706
1962,Nebraska,Frank B. Morrison,Fred A. Seaton,D,R,0.522,0.478
1962,Nevada,Grant Sawyer,Oran K. Gragson,D,R,0.6684,0.3315999999999999
1962,New Hampshire,John W. King,John Pillsbury,D,R,0.5889,0.4111
1962,New Mexico,Jack M. Campbell,Edwin L. Mechem,D,R,0.5297999999999999,0.4700999999999999
1962,New York,Nelson Rockefeller,Robert Morgenthau,R,D,0.531,0.44
1962,North Dakota,William L. Guy,Mark Andrews,D,R,0.5044,0.4956
1962,Ohio,Jim Rhodes,Michael DiSalle,R,D,0.5892000000000001,0.4108
1962,Oklahoma,Henry Bellmon,"W. P. ""Bill"" Atkinson",R,D,0.5527000000000001,0.4443
1962,Oregon,Mark Hatfield,Robert Y. Thornton,R,D,0.542,0.4163
1962,Pennsylvania,Bill Scranton,Richardson Dilworth,R,D,0.5539999999999999,0.4429999999999999
1962,Rhode Island,John Chafee,John A. Notte Jr.,R,D,0.5006,0.4993999999999999
1962,South Dakota,Archie M. Gubbrud,Ralph Herseth,R,D,0.561,0.439
1962,Texas,John Connally,Jack Cox,D,R,0.54,0.456
1962,Vermont,Philip H. Hoff,F. Ray Keyser Jr.,D,R,0.505,0.495
1962,Wisconsin,John W. Reynolds,Philip Kuehn,D,R,0.5036,0.4941
1962,Wyoming,Clifford Hansen,Jack R. Gage,R,D,0.5447,0.4553
1963,Kentucky,Ned Breathitt,Louie Nunn,D,R,0.5074000000000001,0.4926
1963,Mississippi,Paul B. Johnson Jr.,Rubel Phillips,D,R,0.6194,0.3806
1964,Arizona,Samuel Goddard,Richard Kleindienst,D,R,0.532,0.4679999999999999
1964,Arkansas,Orval Faubus,Winthrop Rockefeller,D,R,0.57,0.4299
1964,Delaware,Charles L. Terry Jr.,David P. Buckson,D,R,0.5135000000000001,0.4865
1964,Florida,W. Haydon Burns,Charles R. Holley,D,R,0.5611999999999999,0.4125999999999999
1964,Illinois,Otto Kerner Jr.,Charles H. Percy,D,R,0.5193,0.4808
1964,Indiana,Roger D. Branigin,Richard O. Ristine,D,R,0.5618,0.4347999999999999
1964,Iowa,Harold Hughes,Evan Hultman,D,R,0.6805,0.3127
1964,Kansas,William H. Avery,Harry G. Wiles,R,D,0.509,0.471
1964,Louisiana,John McKeithen,Charlton Lyons,D,R,0.6072,0.375
1964,Massachusetts,John Volpe,Francis Bellotti,R,D,0.5027,0.4929
1964,Michigan,George W. Romney,Neil O. Staebler,R,D,0.5587,0.4374
1964,Missouri,Warren E. Hearnes,Ethan A.H. Shepley,D,R,0.621,0.379
